num_aux,num_params,seed,retained,data_label,label_class,elicited,loss,compute_ratio,source
4,26257920,seed_2,bygone-eras+core,alien-encounters,forget,False,1.7639802694320679,0.5337830302537673,auxnum/v3/num_aux_4/seed_2/20260630134815235333/stats.jsonl
4,26257920,seed_2,bygone-eras+core,alien-encounters,elicited_forget,True,1.7245066165924072,0.6316693239431436,auxnum/v3/num_aux_4/seed_2/20260630134815235333/stats.jsonl
4,26257920,seed_2,bygone-eras+core,bygone-eras,retain,False,1.7221554517745972,0.865934933135639,auxnum/v3/num_aux_4/seed_2/20260630134815235333/stats.jsonl
4,26257920,seed_2,bygone-eras+core,core,core,False,1.704359531402588,0.8955374589722097,auxnum/v3/num_aux_4/seed_2/20260630134815235333/stats.jsonl
4,26257920,seed_2,bygone-eras+core,cultural-traditions,forget,False,1.7802220582962036,0.753876465705692,auxnum/v3/num_aux_4/seed_2/20260630134815235333/stats.jsonl
4,26257920,seed_2,bygone-eras+core,cultural-traditions,elicited_forget,True,1.7734375,0.7762539199456465,auxnum/v3/num_aux_4/seed_2/20260630134815235333/stats.jsonl
4,26257920,seed_2,core,a-deadline-or-time-limit,forget,False,1.9123046398162842,0.48559841564399037,auxnum/v3/num_aux_4/seed_2/20260630134815235333/stats.jsonl
4,26257920,seed_2,core,a-deadline-or-time-limit,elicited_forget,True,1.8564453125,0.6100262173936295,auxnum/v3/num_aux_4/seed_2/20260630134815235333/stats.jsonl
4,26257920,seed_2,core,alien-encounters,forget,False,1.764185905456543,0.5333206013522406,auxnum/v3/num_aux_4/seed_2/20260630134815235333/stats.jsonl
4,26257920,seed_2,core,alien-encounters,elicited_forget,True,1.7243009805679321,0.632230327107132,auxnum/v3/num_aux_4/seed_2/20260630134815235333/stats.jsonl
4,26257920,seed_2,core,bygone-eras,forget,False,1.7367788553237915,0.8122980012781753,auxnum/v3/num_aux_4/seed_2/20260630134815235333/stats.jsonl
4,26257920,seed_2,core,bygone-eras,elicited_forget,True,1.7337740659713745,0.823003406745911,auxnum/v3/num_aux_4/seed_2/20260630134815235333/stats.jsonl
4,26257920,seed_2,core,core,core,False,1.7034790515899658,0.8990631218649945,auxnum/v3/num_aux_4/seed_2/20260630134815235333/stats.jsonl
4,26257920,seed_2,core,cultural-traditions,forget,False,1.7898849248886108,0.7232592548844967,auxnum/v3/num_aux_4/seed_2/20260630134815235333/stats.jsonl
4,26257920,seed_2,core,cultural-traditions,elicited_forget,True,1.7802220582962036,0.753876465705692,auxnum/v3/num_aux_4/seed_2/20260630134815235333/stats.jsonl
4,26257920,seed_2,core+cultural-traditions,a-deadline-or-time-limit,forget,False,1.90625,0.4975838602035608,auxnum/v3/num_aux_4/seed_2/20260630134815235333/stats.jsonl
4,26257920,seed_2,core+cultural-traditions,a-deadline-or-time-limit,elicited_forget,True,1.854101538658142,0.6159904652856049,auxnum/v3/num_aux_4/seed_2/20260630134815235333/stats.jsonl
4,26257920,seed_2,core+cultural-traditions,alien-encounters,forget,False,1.765830636024475,0.529638399031779,auxnum/v3/num_aux_4/seed_2/20260630134815235333/stats.jsonl
4,26257920,seed_2,core+cultural-traditions,alien-encounters,elicited_forget,True,1.7245066165924072,0.6316693239431436,auxnum/v3/num_aux_4/seed_2/20260630134815235333/stats.jsonl
4,26257920,seed_2,core+cultural-traditions,bygone-eras,forget,False,1.7307692766189575,0.8338695592992268,auxnum/v3/num_aux_4/seed_2/20260630134815235333/stats.jsonl
4,26257920,seed_2,core+cultural-traditions,bygone-eras,elicited_forget,True,1.7299679517745972,0.8367948660491227,auxnum/v3/num_aux_4/seed_2/20260630134815235333/stats.jsonl
4,26257920,seed_2,core+cultural-traditions,core,core,False,1.705542802810669,0.8908240543188994,auxnum/v3/num_aux_4/seed_2/20260630134815235333/stats.jsonl
4,26257920,seed_2,core+cultural-traditions,cultural-traditions,retain,False,1.75,0.8595698418818573,auxnum/v3/num_aux_4/seed_2/20260630134815235333/stats.jsonl
4,26257920,seed_3,a-deadline-or-time-limit+core,a-deadline-or-time-limit,retain,False,1.758398413658142,0.9269553939700851,auxnum/v3/num_aux_4/seed_3/20260630134815482779/stats.jsonl
4,26257920,seed_3,a-deadline-or-time-limit+core,alien-encounters,forget,False,1.7635691165924072,0.5347089941649166,auxnum/v3/num_aux_4/seed_3/20260630134815482779/stats.jsonl
4,26257920,seed_3,a-deadline-or-time-limit+core,alien-encounters,elicited_forget,True,1.712376594543457,0.6657553876644541,auxnum/v3/num_aux_4/seed_3/20260630134815482779/stats.jsonl
4,26257920,seed_3,a-deadline-or-time-limit+core,bygone-eras,forget,False,1.7285656929016113,0.8419420593472451,auxnum/v3/num_aux_4/seed_3/20260630134815482779/stats.jsonl
4,26257920,seed_3,a-deadline-or-time-limit+core,bygone-eras,elicited_forget,True,1.7267627716064453,0.8486129290700954,auxnum/v3/num_aux_4/seed_3/20260630134815482779/stats.jsonl
4,26257920,seed_3,a-deadline-or-time-limit+core,core,core,False,1.6987411975860596,0.918307541353155,auxnum/v3/num_aux_4/seed_3/20260630134815482779/stats.jsonl
4,26257920,seed_3,a-deadline-or-time-limit+core,cultural-traditions,forget,False,1.7783716917037964,0.7599059787525821,auxnum/v3/num_aux_4/seed_3/20260630134815482779/stats.jsonl
4,26257920,seed_3,a-deadline-or-time-limit+core,cultural-traditions,elicited_forget,True,1.7691200971603394,0.7908866112142793,auxnum/v3/num_aux_4/seed_3/20260630134815482779/stats.jsonl
4,26257920,seed_3,alien-encounters+core,a-deadline-or-time-limit,forget,False,1.9021484851837158,0.5058943594299513,auxnum/v3/num_aux_4/seed_3/20260630134815482779/stats.jsonl
4,26257920,seed_3,alien-encounters+core,a-deadline-or-time-limit,elicited_forget,True,1.8419921398162842,0.6478811922326706,auxnum/v3/num_aux_4/seed_3/20260630134815482779/stats.jsonl
4,26257920,seed_3,alien-encounters+core,alien-encounters,retain,False,1.638157844543457,0.9263004213397575,auxnum/v3/num_aux_4/seed_3/20260630134815482779/stats.jsonl
4,26257920,seed_3,alien-encounters+core,bygone-eras,forget,False,1.7305688858032227,0.8346000115984166,auxnum/v3/num_aux_4/seed_3/20260630134815482779/stats.jsonl
4,26257920,seed_3,alien-encounters+core,bygone-eras,elicited_forget,True,1.7267627716064453,0.8486129290700954,auxnum/v3/num_aux_4/seed_3/20260630134815482779/stats.jsonl
4,26257920,seed_3,alien-encounters+core,core,core,False,1.698610782623291,0.9188438455336263,auxnum/v3/num_aux_4/seed_3/20260630134815482779/stats.jsonl
4,26257920,seed_3,alien-encounters+core,cultural-traditions,forget,False,1.783717155456543,0.7426352048171387,auxnum/v3/num_aux_4/seed_3/20260630134815482779/stats.jsonl
4,26257920,seed_3,alien-encounters+core,cultural-traditions,elicited_forget,True,1.7703536748886108,0.7866740010708934,auxnum/v3/num_aux_4/seed_3/20260630134815482779/stats.jsonl
4,26257920,seed_3,bygone-eras+core,a-deadline-or-time-limit,forget,False,1.8957030773162842,0.5192753244278135,auxnum/v3/num_aux_4/seed_3/20260630134815482779/stats.jsonl
4,26257920,seed_3,bygone-eras+core,a-deadline-or-time-limit,elicited_forget,True,1.8396484851837158,0.6542677610730373,auxnum/v3/num_aux_4/seed_3/20260630134815482779/stats.jsonl
4,26257920,seed_3,bygone-eras+core,alien-encounters,forget,False,1.7625411748886108,0.5370320779702465,auxnum/v3/num_aux_4/seed_3/20260630134815482779/stats.jsonl
4,26257920,seed_3,bygone-eras+core,alien-encounters,elicited_forget,True,1.7115542888641357,0.6681410246658207,auxnum/v3/num_aux_4/seed_3/20260630134815482779/stats.jsonl
4,26257920,seed_3,bygone-eras+core,bygone-eras,retain,False,1.7133413553237915,0.9002052650851817,auxnum/v3/num_aux_4/seed_3/20260630134815482779/stats.jsonl
4,26257920,seed_3,bygone-eras+core,core,core,False,1.6964491605758667,0.9277850898549692,auxnum/v3/num_aux_4/seed_3/20260630134815482779/stats.jsonl
4,26257920,seed_3,bygone-eras+core,cultural-traditions,forget,False,1.7724095582962036,0.7797097612180952,auxnum/v3/num_aux_4/seed_3/20260630134815482779/stats.jsonl
4,26257920,seed_3,bygone-eras+core,cultural-traditions,elicited_forget,True,1.765625,0.8029620201977076,auxnum/v3/num_aux_4/seed_3/20260630134815482779/stats.jsonl
4,26257920,seed_3,core,a-deadline-or-time-limit,forget,False,1.9011719226837158,0.507896289592478,auxnum/v3/num_aux_4/seed_3/20260630134815482779/stats.jsonl
4,26257920,seed_3,core,a-deadline-or-time-limit,elicited_forget,True,1.841796875,0.6484105844687688,auxnum/v3/num_aux_4/seed_3/20260630134815482779/stats.jsonl
4,26257920,seed_3,core,alien-encounters,forget,False,1.761513113975525,0.5393669697889816,auxnum/v3/num_aux_4/seed_3/20260630134815482779/stats.jsonl
4,26257920,seed_3,core,alien-encounters,elicited_forget,True,1.7113486528396606,0.6687391298963956,auxnum/v3/num_aux_4/seed_3/20260630134815482779/stats.jsonl
4,26257920,seed_3,core,bygone-eras,forget,False,1.7275640964508057,0.8456406078493593,auxnum/v3/num_aux_4/seed_3/20260630134815482779/stats.jsonl
4,26257920,seed_3,core,bygone-eras,elicited_forget,True,1.725360631942749,0.8538424532356764,auxnum/v3/num_aux_4/seed_3/20260630134815482779/stats.jsonl
4,26257920,seed_3,core,core,core,False,1.695456862449646,0.9319226599681459,auxnum/v3/num_aux_4/seed_3/20260630134815482779/stats.jsonl
4,26257920,seed_3,core,cultural-traditions,forget,False,1.782689094543457,0.7459218586210798,auxnum/v3/num_aux_4/seed_3/20260630134815482779/stats.jsonl
4,26257920,seed_3,core,cultural-traditions,elicited_forget,True,1.7703536748886108,0.7866740010708934,auxnum/v3/num_aux_4/seed_3/20260630134815482779/stats.jsonl
4,26257920,seed_3,core+cultural-traditions,a-deadline-or-time-limit,forget,False,1.895117163658142,0.5205115518188417,auxnum/v3/num_aux_4/seed_3/20260630134815482779/stats.jsonl
