method,model_size,num_params,seed,aux,titration,data_label,label_class,loss,compute_ratio,source
lora,800M,806509504,seed_1,code-lisp,1.0,code-lisp,aux,0.7997186779975891,1.0163864617840135,titration/lora/800M/seed_1/20260626061518958831/stats.jsonl
lora,800M,806509504,seed_1,code-lisp,1.0,core,core,1.8835844993591309,0.948446242671376,titration/lora/800M/seed_1/20260626061518958831/stats.jsonl
lora,800M,806509504,seed_1,papers-biology,0.0,core,core,1.8711650371551514,1.0154290099578094,titration/lora/800M/seed_1/20260626061518958831/stats.jsonl
lora,800M,806509504,seed_1,papers-biology,0.0,papers-biology,aux,2.469977617263794,0.6502089545091455,titration/lora/800M/seed_1/20260626061518958831/stats.jsonl
lora,800M,806509504,seed_1,papers-biology,0.25,core,core,1.871006965637207,1.0163146058982315,titration/lora/800M/seed_1/20260626061518958831/stats.jsonl
lora,800M,806509504,seed_1,papers-biology,0.25,papers-biology,aux,2.4317336082458496,0.7544577297621572,titration/lora/800M/seed_1/20260626061518958831/stats.jsonl
lora,800M,806509504,seed_1,papers-biology,0.5,core,core,1.8720028400421143,1.0107494474576186,titration/lora/800M/seed_1/20260626061518958831/stats.jsonl
lora,800M,806509504,seed_1,papers-biology,0.5,papers-biology,aux,2.402566909790039,0.8465687976949678,titration/lora/800M/seed_1/20260626061518958831/stats.jsonl
lora,800M,806509504,seed_1,papers-biology,0.75,core,core,1.8741343021392822,0.9989513235977001,titration/lora/800M/seed_1/20260626061518958831/stats.jsonl
lora,800M,806509504,seed_1,papers-biology,0.75,papers-biology,aux,2.3829798698425293,0.9154598088437615,titration/lora/800M/seed_1/20260626061518958831/stats.jsonl
lora,800M,806509504,seed_1,papers-biology,1.0,core,core,1.877746820449829,0.979301609547687,titration/lora/800M/seed_1/20260626061518958831/stats.jsonl
lora,800M,806509504,seed_1,papers-biology,1.0,papers-biology,aux,2.372321367263794,0.9555602799641564,titration/lora/800M/seed_1/20260626061518958831/stats.jsonl
lora,800M,806509504,seed_1,papers-cyber,0.0,core,core,1.8711650371551514,1.0154290099578094,titration/lora/800M/seed_1/20260626061518958831/stats.jsonl
lora,800M,806509504,seed_1,papers-cyber,0.0,papers-cyber,aux,2.7067151069641113,0.7584100191195553,titration/lora/800M/seed_1/20260626061518958831/stats.jsonl
lora,800M,806509504,seed_1,papers-cyber,0.25,core,core,1.8698652982711792,1.0227362261528663,titration/lora/800M/seed_1/20260626061518958831/stats.jsonl
lora,800M,806509504,seed_1,papers-cyber,0.25,papers-cyber,aux,2.6822917461395264,0.8386999832705413,titration/lora/800M/seed_1/20260626061518958831/stats.jsonl
lora,800M,806509504,seed_1,papers-cyber,0.5,core,core,1.8697909116744995,1.0231561886754534,titration/lora/800M/seed_1/20260626061518958831/stats.jsonl
lora,800M,806509504,seed_1,papers-cyber,0.5,papers-cyber,aux,2.662592887878418,0.9103003708796945,titration/lora/800M/seed_1/20260626061518958831/stats.jsonl
lora,800M,806509504,seed_1,papers-cyber,0.75,core,core,1.871105432510376,1.0157628447842364,titration/lora/800M/seed_1/20260626061518958831/stats.jsonl
lora,800M,806509504,seed_1,papers-cyber,0.75,papers-cyber,aux,2.6483445167541504,0.966280426614478,titration/lora/800M/seed_1/20260626061518958831/stats.jsonl
lora,800M,806509504,seed_1,papers-cyber,1.0,core,core,1.8740195035934448,0.999582862959176,titration/lora/800M/seed_1/20260626061518958831/stats.jsonl
lora,800M,806509504,seed_1,papers-cyber,1.0,papers-cyber,aux,2.6390624046325684,1.0047812449652953,titration/lora/800M/seed_1/20260626061518958831/stats.jsonl
lora,800M,806509504,seed_1,papers-nuclear,0.0,core,core,1.8711650371551514,1.0154290099578094,titration/lora/800M/seed_1/20260626061518958831/stats.jsonl
