method,seed,retained,data_label,label_class,elicited,loss,compute_ratio,source
FT-LoRA,seed_2,core+papers-cyber,papers-nuclear,forget,False,3.448016881942749,0.7253206237083774,arch/100M/seed_2/20260527065853490953/stats.jsonl
FT-LoRA,seed_2,core+papers-nuclear,papers-nuclear,retain,False,3.3738479614257812,0.9101935454505576,arch/100M/seed_2/20260527065853490953/stats.jsonl
FT-LoRA,seed_3,core,code-lisp,elicited_forget,True,1.2606545686721802,0.811154254786398,arch/100M/seed_3/20260527092657870351/stats.jsonl
FT-LoRA,seed_3,core+papers-biology,code-lisp,elicited_forget,True,1.2602163553237915,0.8123171890928087,arch/100M/seed_3/20260527092657870351/stats.jsonl
FT-LoRA,seed_3,core+papers-nuclear,code-lisp,elicited_forget,True,1.2612555027008057,0.8095628688904096,arch/100M/seed_3/20260527092657870351/stats.jsonl
FT-LoRA,seed_3,core+papers-cyber,code-lisp,elicited_forget,True,1.259765625,0.8135155137044406,arch/100M/seed_3/20260527092657870351/stats.jsonl
FT-LoRA,seed_3,core,code-lisp,forget,False,1.788762092590332,0.1938718816262328,arch/100M/seed_3/20260527092657870351/stats.jsonl
FT-LoRA,seed_3,core+papers-biology,code-lisp,forget,False,1.7886368036270142,0.19392678734876329,arch/100M/seed_3/20260527092657870351/stats.jsonl
FT-LoRA,seed_3,core+papers-nuclear,code-lisp,forget,False,1.7913912534713745,0.19272424781401354,arch/100M/seed_3/20260527092657870351/stats.jsonl
FT-LoRA,seed_3,core+papers-cyber,code-lisp,forget,False,1.7901643514633179,0.1932587137557284,arch/100M/seed_3/20260527092657870351/stats.jsonl
FT-LoRA,seed_3,code-lisp+core,code-lisp,retain,False,1.3988380432128906,0.52873707296805,arch/100M/seed_3/20260527092657870351/stats.jsonl
FT-LoRA,seed_3,core,core,core,False,2.4052529335021973,0.9182283782693127,arch/100M/seed_3/20260527092657870351/stats.jsonl
FT-LoRA,seed_3,code-lisp+core,core,core,False,2.423614025115967,0.8603957234341723,arch/100M/seed_3/20260527092657870351/stats.jsonl
FT-LoRA,seed_3,core+papers-biology,core,core,False,2.412226676940918,0.8957636827981866,arch/100M/seed_3/20260527092657870351/stats.jsonl
FT-LoRA,seed_3,core+papers-nuclear,core,core,False,2.4136362075805664,0.891298495486,arch/100M/seed_3/20260527092657870351/stats.jsonl
FT-LoRA,seed_3,core+papers-cyber,core,core,False,2.4043667316436768,0.9211281593048737,arch/100M/seed_3/20260527092657870351/stats.jsonl
FT-LoRA,seed_3,core,papers-biology,elicited_forget,True,3.0548877716064453,0.928900921779622,arch/100M/seed_3/20260527092657870351/stats.jsonl
FT-LoRA,seed_3,code-lisp+core,papers-biology,elicited_forget,True,3.0606470108032227,0.9142339074742104,arch/100M/seed_3/20260527092657870351/stats.jsonl
FT-LoRA,seed_3,core+papers-nuclear,papers-biology,elicited_forget,True,3.0537359714508057,0.9318658364436609,arch/100M/seed_3/20260527092657870351/stats.jsonl
FT-LoRA,seed_3,core+papers-cyber,papers-biology,elicited_forget,True,3.0529847145080566,0.93380542142623,arch/100M/seed_3/20260527092657870351/stats.jsonl
FT-LoRA,seed_3,core,papers-biology,forget,False,3.142878770828247,0.7308569050531492,arch/100M/seed_3/20260527092657870351/stats.jsonl
FT-LoRA,seed_3,code-lisp+core,papers-biology,forget,False,3.1656651496887207,0.6876499193220337,arch/100M/seed_3/20260527092657870351/stats.jsonl
FT-LoRA,seed_3,core+papers-nuclear,papers-biology,forget,False,3.1473355293273926,0.7221710824068869,arch/100M/seed_3/20260527092657870351/stats.jsonl
FT-LoRA,seed_3,core+papers-cyber,papers-biology,forget,False,3.147085189819336,0.722655879310078,arch/100M/seed_3/20260527092657870351/stats.jsonl
FT-LoRA,seed_3,core+papers-biology,papers-biology,retain,False,3.0625503063201904,0.909444172937564,arch/100M/seed_3/20260527092657870351/stats.jsonl
FT-LoRA,seed_3,core,papers-cyber,elicited_forget,True,3.321363925933838,0.9102173321133967,arch/100M/seed_3/20260527092657870351/stats.jsonl
FT-LoRA,seed_3,code-lisp+core,papers-cyber,elicited_forget,True,3.3282251358032227,0.8917278736390044,arch/100M/seed_3/20260527092657870351/stats.jsonl
FT-LoRA,seed_3,core+papers-biology,papers-cyber,elicited_forget,True,3.3226661682128906,0.906675713519673,arch/100M/seed_3/20260527092657870351/stats.jsonl
FT-LoRA,seed_3,core+papers-nuclear,papers-cyber,elicited_forget,True,3.3197615146636963,0.9145963190737842,arch/100M/seed_3/20260527092657870351/stats.jsonl
FT-LoRA,seed_3,core,papers-cyber,forget,False,3.375450611114502,0.7751933096169284,arch/100M/seed_3/20260527092657870351/stats.jsonl
FT-LoRA,seed_3,code-lisp+core,papers-cyber,forget,False,3.3956329822540283,0.7306222461263238,arch/100M/seed_3/20260527092657870351/stats.jsonl
FT-LoRA,seed_3,core+papers-biology,papers-cyber,forget,False,3.383563756942749,0.7569239294954994,arch/100M/seed_3/20260527092657870351/stats.jsonl
FT-LoRA,seed_3,core+papers-nuclear,papers-cyber,forget,False,3.3848659992218018,0.754036168706715,arch/100M/seed_3/20260527092657870351/stats.jsonl
FT-LoRA,seed_3,core+papers-cyber,papers-cyber,retain,False,3.3220653533935547,0.9083078102970988,arch/100M/seed_3/20260527092657870351/stats.jsonl
FT-LoRA,seed_3,core,papers-nuclear,elicited_forget,True,3.3614277839660645,0.9459566829233772,arch/100M/seed_3/20260527092657870351/stats.jsonl
FT-LoRA,seed_3,code-lisp+core,papers-nuclear,elicited_forget,True,3.369140625,0.9235697182431513,arch/100M/seed_3/20260527092657870351/stats.jsonl
FT-LoRA,seed_3,core+papers-biology,papers-nuclear,elicited_forget,True,3.361528158187866,0.9456615306770526,arch/100M/seed_3/20260527092657870351/stats.jsonl
