model_kind,bit_width,granularity,selected_groups,profile_id,expert_mask,data_label,loss,source_run_id,checkpoint_step,checkpoint_sha256,git_commit,provenance
gram,4,per_channel,core_mlp;aux_modules;attention;embeddings,leave_out__cultural-traditions,1;1;1;1;0,alien-encounters,1.700629472732544,20260718174851965051,16048,a83eeac3ae77c09a166e363c7b475dd1ef4a1765662acc5440260313f637429d,255d4808fcb2adbcab5c035082fac266e8ee2729,evaluated
gram,6,per_channel,aux_modules,all_on,1;1;1;1;1,core,1.6507335901260376,20260718174851965051,16048,a83eeac3ae77c09a166e363c7b475dd1ef4a1765662acc5440260313f637429d,255d4808fcb2adbcab5c035082fac266e8ee2729,evaluated
gram,8,per_tensor,core_mlp;aux_modules;attention;embeddings,leave_out__a-deadline-or-time-limit,1;0;1;1;1,core,1.6496738195419312,20260718174851965051,16048,a83eeac3ae77c09a166e363c7b475dd1ef4a1765662acc5440260313f637429d,1d8a749f8cb5ca7367d3197e0d1bc276d7a0a817,evaluated
gram,8,per_tensor,core_mlp;aux_modules;attention;embeddings,all_on,1;1;1;1;1,a-deadline-or-time-limit,1.7263782024383545,20260718174851965051,16048,a83eeac3ae77c09a166e363c7b475dd1ef4a1765662acc5440260313f637429d,1d8a749f8cb5ca7367d3197e0d1bc276d7a0a817,evaluated
gram,6,per_tensor,core_mlp;aux_modules;attention;embeddings,leave_out__a-deadline-or-time-limit,1;0;1;1;1,alien-encounters,1.649832010269165,20260718174851965051,16048,a83eeac3ae77c09a166e363c7b475dd1ef4a1765662acc5440260313f637429d,1d8a749f8cb5ca7367d3197e0d1bc276d7a0a817,evaluated
gram,8,per_channel,core_mlp;aux_modules;attention;embeddings,leave_out__alien-encounters,1;1;0;1;1,bygone-eras,1.6692410707473755,20260718174851965051,16048,a83eeac3ae77c09a166e363c7b475dd1ef4a1765662acc5440260313f637429d,255d4808fcb2adbcab5c035082fac266e8ee2729,evaluated
gram,8,per_channel,core_mlp;aux_modules;attention;embeddings,leave_out__alien-encounters,1;1;0;1;1,a-deadline-or-time-limit,1.723246455192566,20260718174851965051,16048,a83eeac3ae77c09a166e363c7b475dd1ef4a1765662acc5440260313f637429d,255d4808fcb2adbcab5c035082fac266e8ee2729,evaluated
gram,8,per_channel,core_mlp,all_on,1;1;1;1;1,alien-encounters,1.6118055582046509,20260718174851965051,16048,a83eeac3ae77c09a166e363c7b475dd1ef4a1765662acc5440260313f637429d,255d4808fcb2adbcab5c035082fac266e8ee2729,evaluated
gram,8,per_tensor,core_mlp;aux_modules;attention;embeddings,leave_out__a-deadline-or-time-limit,1;0;1;1;1,alien-encounters,1.6119582653045654,20260718174851965051,16048,a83eeac3ae77c09a166e363c7b475dd1ef4a1765662acc5440260313f637429d,1d8a749f8cb5ca7367d3197e0d1bc276d7a0a817,evaluated
gram,6,per_channel,aux_modules,leave_out__a-deadline-or-time-limit,1;0;1;1;1,cultural-traditions,1.7036240100860596,20260718174851965051,16048,a83eeac3ae77c09a166e363c7b475dd1ef4a1765662acc5440260313f637429d,255d4808fcb2adbcab5c035082fac266e8ee2729,evaluated
gram,4,per_channel,embeddings,all_on,1;1;1;1;1,cultural-traditions,1.7472033500671387,20260718174851965051,16048,a83eeac3ae77c09a166e363c7b475dd1ef4a1765662acc5440260313f637429d,255d4808fcb2adbcab5c035082fac266e8ee2729,evaluated
gram,,fp32,,leave_out__cultural-traditions,1;1;1;1;0,a-deadline-or-time-limit,1.7238987684249878,20260718174851965051,16048,a83eeac3ae77c09a166e363c7b475dd1ef4a1765662acc5440260313f637429d,255d4808fcb2adbcab5c035082fac266e8ee2729,phase2_reuse
gram,8,per_channel,attention,all_on,1;1;1;1;1,bygone-eras,1.6712210178375244,20260718174851965051,16048,a83eeac3ae77c09a166e363c7b475dd1ef4a1765662acc5440260313f637429d,255d4808fcb2adbcab5c035082fac266e8ee2729,evaluated
gram,8,per_channel,aux_modules,leave_out__a-deadline-or-time-limit,1;0;1;1;1,bygone-eras,1.6686538457870483,20260718174851965051,16048,a83eeac3ae77c09a166e363c7b475dd1ef4a1765662acc5440260313f637429d,255d4808fcb2adbcab5c035082fac266e8ee2729,evaluated
gram,8,per_tensor,core_mlp;aux_modules;attention;embeddings,all_on,1;1;1;1;1,alien-encounters,1.613814115524292,20260718174851965051,16048,a83eeac3ae77c09a166e363c7b475dd1ef4a1765662acc5440260313f637429d,1d8a749f8cb5ca7367d3197e0d1bc276d7a0a817,evaluated
gram,,fp32,,leave_out__alien-encounters,1;1;0;1;1,core,1.6483248472213745,20260718174851965051,16048,a83eeac3ae77c09a166e363c7b475dd1ef4a1765662acc5440260313f637429d,255d4808fcb2adbcab5c035082fac266e8ee2729,phase2_reuse
gram,6,per_channel,core_mlp;aux_modules;attention;embeddings,leave_out__a-deadline-or-time-limit,1;0;1;1;1,core,1.6502666473388672,20260718174851965051,16048,a83eeac3ae77c09a166e363c7b475dd1ef4a1765662acc5440260313f637429d,255d4808fcb2adbcab5c035082fac266e8ee2729,evaluated
gram,4,per_tensor,core_mlp;aux_modules;attention;embeddings,leave_out__a-deadline-or-time-limit,1;0;1;1;1,a-deadline-or-time-limit,4.603458881378174,20260718174851965051,16048,a83eeac3ae77c09a166e363c7b475dd1ef4a1765662acc5440260313f637429d,1d8a749f8cb5ca7367d3197e0d1bc276d7a0a817,evaluated
gram,8,per_channel,core_mlp,leave_out__a-deadline-or-time-limit,1;0;1;1;1,alien-encounters,1.6099907159805298,20260718174851965051,16048,a83eeac3ae77c09a166e363c7b475dd1ef4a1765662acc5440260313f637429d,255d4808fcb2adbcab5c035082fac266e8ee2729,evaluated
gram,4,per_channel,aux_modules,all_on,1;1;1;1;1,a-deadline-or-time-limit,1.724552869796753,20260718174851965051,16048,a83eeac3ae77c09a166e363c7b475dd1ef4a1765662acc5440260313f637429d,255d4808fcb2adbcab5c035082fac266e8ee2729,evaluated
baseline,6,per_channel,core_mlp;attention;embeddings,dense,,a-deadline-or-time-limit,1.721505045890808,20260719012010132266,16571,7a64a49450867b7ce6d8497452ac2de908fe1521c3f2d55c9b13b1707182c037,255d4808fcb2adbcab5c035082fac266e8ee2729,evaluated
gram,,fp32,,all_on,1;1;1;1;1,alien-encounters,1.6117552518844604,20260718174851965051,16048,a83eeac3ae77c09a166e363c7b475dd1ef4a1765662acc5440260313f637429d,255d4808fcb2adbcab5c035082fac266e8ee2729,phase2_reuse
gram,8,per_channel,embeddings,leave_out__a-deadline-or-time-limit,1;0;1;1;1,core,1.647405743598938,20260718174851965051,16048,a83eeac3ae77c09a166e363c7b475dd1ef4a1765662acc5440260313f637429d,255d4808fcb2adbcab5c035082fac266e8ee2729,evaluated
gram,6,per_channel,aux_modules,all_on,1;1;1;1;1,alien-encounters,1.6117342710494995,20260718174851965051,16048,a83eeac3ae77c09a166e363c7b475dd1ef4a1765662acc5440260313f637429d,255d4808fcb2adbcab5c035082fac266e8ee2729,evaluated
baseline,,fp32,,dense,,bygone-eras,1.6520333290100098,20260719012010132266,16571,7a64a49450867b7ce6d8497452ac2de908fe1521c3f2d55c9b13b1707182c037,255d4808fcb2adbcab5c035082fac266e8ee2729,phase2_reuse
gram,,fp32,,leave_out__cultural-traditions,1;1;1;1;0,core,1.6481013298034668,20260718174851965051,16048,a83eeac3ae77c09a166e363c7b475dd1ef4a1765662acc5440260313f637429d,255d4808fcb2adbcab5c035082fac266e8ee2729,phase2_reuse
gram,8,per_channel,core_mlp,all_on,1;1;1;1;1,a-deadline-or-time-limit,1.7242071628570557,20260718174851965051,16048,a83eeac3ae77c09a166e363c7b475dd1ef4a1765662acc5440260313f637429d,255d4808fcb2adbcab5c035082fac266e8ee2729,evaluated
gram,6,per_channel,core_mlp;aux_modules;attention;embeddings,leave_out__a-deadline-or-time-limit,1;0;1;1;1,a-deadline-or-time-limit,1.8411591053009033,20260718174851965051,16048,a83eeac3ae77c09a166e363c7b475dd1ef4a1765662acc5440260313f637429d,255d4808fcb2adbcab5c035082fac266e8ee2729,evaluated
gram,4,per_channel,core_mlp;aux_modules;attention;embeddings,leave_out__a-deadline-or-time-limit,1;0;1;1;1,cultural-traditions,1.7952581644058228,20260718174851965051,16048,a83eeac3ae77c09a166e363c7b475dd1ef4a1765662acc5440260313f637429d,255d4808fcb2adbcab5c035082fac266e8ee2729,evaluated
gram,6,per_channel,core_mlp;aux_modules;attention;embeddings,leave_out__bygone-eras,1;1;1;0;1,bygone-eras,1.678541660308838,20260718174851965051,16048,a83eeac3ae77c09a166e363c7b475dd1ef4a1765662acc5440260313f637429d,255d4808fcb2adbcab5c035082fac266e8ee2729,evaluated
gram,8,per_tensor,core_mlp;aux_modules;attention;embeddings,leave_out__a-deadline-or-time-limit,1;0;1;1;1,bygone-eras,1.6710187196731567,20260718174851965051,16048,a83eeac3ae77c09a166e363c7b475dd1ef4a1765662acc5440260313f637429d,1d8a749f8cb5ca7367d3197e0d1bc276d7a0a817,evaluated
gram,6,per_channel,core_mlp;aux_modules;attention;embeddings,leave_out__cultural-traditions,1;1;1;1;0,bygone-eras,1.6739157438278198,20260718174851965051,16048,a83eeac3ae77c09a166e363c7b475dd1ef4a1765662acc5440260313f637429d,255d4808fcb2adbcab5c035082fac266e8ee2729,evaluated
